[VAMS][2015-09-22 15:43:11,217] INFO | mina 服务器启动 ... 端口号为 : 9999 | [main] com.ds.mina.server.MinaServer.main(37)
[VAMS][2015-09-22 15:48:47,357] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:47,700] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:47,956] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:48,044] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:48,226] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:48,227] INFO | 服务端收到的数据为 : locahost , hao you are | [NioProcessor-6] com.ds.mina.server.MinaServerHandler.messageReceived(47)
[VAMS][2015-09-22 15:48:48,227] INFO | 服务端信息发送成功... | [NioProcessor-6] com.ds.mina.server.MinaServerHandler.messageSent(63)
[VAMS][2015-09-22 15:48:54,832] INFO | 服务端与客户端创建连接... | [NioProcessor-7] com.ds.mina.server.MinaServerHandler.sessionCreated(17)
[VAMS][2015-09-22 15:48:54,833] INFO | 服务端与客户端连接打开... | [NioProcessor-7] com.ds.mina.server.MinaServerHandler.sessionOpened(22)
[VAMS][2015-09-22 15:48:55,660] DEBUG | Processing a MESSAGE_RECEIVED for session 6 | [NioProcessor-7] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:55,852] DEBUG | Processing a MESSAGE_RECEIVED for session 6 | [NioProcessor-7] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
